City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
189,Bodajk,HU,74.95,clear sky,47.3235,18.2331,Hétkúti Wellness Hotel és Lovaspark
190,Olafsvik,IS,49.19,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
191,Paamiut,GL,39.63,few clouds,61.994,-49.6678,Pistut
192,Cherskiy,RU,47.19,broken clouds,68.75,161.3,Gostinitsa
193,Maragogi,BR,73.27,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
194,Sahuaripa,MX,76.84,few clouds,29.05,-109.2333,Estatua de Sahuaripa
195,Khandyga,RU,76.01,clear sky,62.6667,135.6,Apel'sin
196,San Patricio,US,82.89,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
198,Namatanai,PG,80.53,light rain,-3.6667,152.4333,Seagulls Inn Namatani
199,Honningsvag,NO,47.95,few clouds,70.9821,25.9704,Nordkapp Vandrerhjem
200,Riberalta,BO,71.4,scattered clouds,-10.9833,-66.1,Hotel Colonial
201,Hotaka,JP,61.3,broken clouds,36.3396,137.8825,にし屋別荘
203,Faya,SA,86.52,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
204,Trincomalee,LK,90.63,moderate rain,8.5711,81.2335,Welcombe Hotel
205,Korla,CN,90.0,scattered clouds,41.7597,86.1469,Gulisitan Hotel
206,Ketchikan,US,52.27,light rain,55.3422,-131.6461,Snow's Cove Lodge
207,Ordubad,AZ,84.13,clear sky,38.9059,46.0234,Ordubad Oteli
208,Allen,US,66.9,overcast clouds,41.0706,-85.0144,"Holiday Inn Express Fort Wayne-East (New Haven), an IHG Hotel"
209,Byron Bay,AU,55.71,clear sky,-28.65,153.6167,Backpackers Inn
210,Black Diamond,US,52.39,clear sky,47.3087,-122.0032,Lake Sawyer RV Resort
212,Kurilsk,RU,44.4,scattered clouds,45.2333,147.8833,Hotel Ostrov
213,Aksha,RU,73.13,broken clouds,50.2814,113.2867,Vizit
214,Tupik,RU,73.56,overcast clouds,54.4253,119.9327,Guest House Orkhideya
215,Scottsbluff,US,59.29,broken clouds,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
216,Cidreira,BR,61.52,overcast clouds,-30.1811,-50.2056,Hotel Castelo
217,Bereda,ES,59.58,overcast clouds,43.2686,-7.5406,Pazo de Verdes
218,Brasileia,BR,74.37,overcast clouds,-11.0161,-68.7481,Pousada Tobias
219,Kremenki,RU,65.01,clear sky,54.885,37.1261,Country house Troitskoe 114
220,Aguimes,ES,66.83,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
221,Kirakira,SB,80.38,broken clouds,-10.4544,161.9205,SanBiz Lodge
223,Karratha,AU,78.33,clear sky,-20.7377,116.8463,ibis Styles Karratha
224,Rach Gia,VN,86.43,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
225,Thompson,CA,42.89,scattered clouds,55.7435,-97.8558,Burntwood Hotel
226,Homer,US,55.04,overcast clouds,59.6425,-151.5483,Beluga Lake Lodge
227,Akhaldaba,GE,64.96,light rain,41.654,42.1516,Hotel Babus Marani
228,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
229,Goderich,CA,63.91,light rain,43.7501,-81.7165,Harmony Inn
230,Ishim,RU,65.3,overcast clouds,56.1128,69.4902,Hostel v Ishime
231,Suntar,RU,76.51,clear sky,62.1444,117.6319,Гостевая квартира
232,Vila Velha,BR,60.94,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
233,Villa Maria,AR,46.18,clear sky,-32.4075,-63.2402,Hotel Milenium
236,Dali,CN,68.83,overcast clouds,25.7,100.1833,Dali Travelling With Hostel
237,Skibbereen,IE,56.1,overcast clouds,51.55,-9.2667,The West Cork Hotel
238,Necochea,AR,50.18,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
240,Salalah,OM,86.23,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
241,Praia,CV,72.14,broken clouds,14.9215,-23.5087,LT Aparthotel
242,Coquimbo,CL,55.04,clear sky,-29.9533,-71.3436,Hotel San Juan
243,Lisieux,FR,63.16,broken clouds,49.1667,0.1667,La ville au calme
244,Sumner,US,70.75,broken clouds,36.4998,-86.45,Tipping Point Artist Wellness
245,Kaitangata,NZ,48.4,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
246,Zheleznodorozhnyy,RU,63.55,scattered clouds,55.7503,38.0042,Hotel Dali
247,Bud,US,66.67,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
248,Kawalu,ID,84.38,overcast clouds,-7.3817,108.2082,West Jontor
249,Gillette,US,50.05,overcast clouds,44.2911,-105.5022,National 9 Inn - Gillette WY
250,Kemijarvi,FI,57.92,broken clouds,66.7131,27.4306,Hotelli Kemijärvi
251,Fortuna,US,50.94,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
252,Tynda,RU,78.87,few clouds,55.1667,124.7167,"Gostinitsa ""Tayezhnaya"""
253,Tuktoyaktuk,CA,30.15,scattered clouds,69.4541,-133.0374,End of The Road Ltd.
254,Dzaoudzi,YT,85.89,broken clouds,-12.7887,45.2699,Le Rocher
255,Sovetskiy,RU,64.26,few clouds,61.3614,63.5842,Apartment on Kievskaya 29
256,Petropavlovsk-Kamchatskiy,RU,46.17,few clouds,53.0452,158.6483,The Hotel Petropavlovsky
258,Tigil,RU,53.71,overcast clouds,57.8,158.6667,Tigil'
259,Sandakan,MY,86.32,scattered clouds,5.8402,118.1179,Hotel Sandakan
260,Cervo,ES,65.97,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
261,Sitka,US,51.69,broken clouds,57.0531,-135.33,Westmark Sitka
262,Port Alfred,ZA,65.17,clear sky,-33.5906,26.891,The Halyards Hotel
263,Areosa,PT,64.85,scattered clouds,41.7178,-8.8571,Hotel Flôr de Sal
264,San Cristobal,VE,65.16,broken clouds,7.7669,-72.225,Pirineos
265,Changde,CN,91.33,scattered clouds,29.0464,111.6783,Kangshida Hotel
266,Husavik,IS,49.14,overcast clouds,66.0449,-17.3389,Bjarnabúð
267,Whitehorse,CA,49.01,overcast clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
268,Tura,IN,87.42,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
269,Kyshtovka,RU,64.09,light rain,56.555,76.6271,Uyutnaya Mini-Hotel
270,Shaowu,CN,81.64,overcast clouds,27.3409,117.4831,Yijie Express Hotel
